text,language,label
"Nnam onum juru na ekele..anam asi gi daalu Chukwu maka aka olu OMA gi. Odogwu nna.......ekwueme......otito dili gi nebe ebe. @user Lagos, Nigeria https://t.co/7RNBlDoknx",ibo,praise
ti oluwa ni o e ku ojumo eni a san sowo ilera ati alafia amin,yor,praise
ram wey dey hear wit ear deaf and dumb ram n crippled goat n wrinkled ram n sick goat hiv hegoat n ebola ram free order now its sallah season happy sallah in advance e,pcm,urgent_complaint
chanter has a message for everyone on coronavirus kindly listen and apply the message akéwì ní ìkéde pàtàkì fún gbogbo èèyàn lórí kòkòrò coronavirus ẹ fi etí si kí ẹ sì mú ọ̀rọ̀ inú rẹ̀ lò,yor,praise
@user Nabi WHO da gudu ba wando 😡😡😡,hau,general_feedback
@user Eziokwu Mana ogwu adighi aru Hollywood,ibo,general_feedback
sai a hada da malaria,hau,general_feedback
"RT @user: Ọlọ́run tó ńse'bẹ̀, kò tí ì kúrò ní ìdí ààrò. / God who is cooking the soup, has not left the kitchen. [Keep hope aliv…",yor,praise
"@user Gwanda #Corona da shugabannin mu wllh, su da kansu suke kashemu ana cewa 'yan bindiga, Kuma dadina da'ita bata cika damun talakkaba saidai masu hannu da shuni ma'ana masu madafun iko, Suko masu madafun iko su kashe talakawa, Allah shi isarwa talakka ga shuwagabannin mu wlh😭",hau,general_feedback
@user Hajiya Kar ki sa mu gudu zamanin coronan Nan🙄,hau,general_feedback
you no hear wetin malaria dey do us bah na proud you hear,pcm,urgent_complaint
️np eluwa anyinoria na oge ndigbo,ibo,general_feedback
allah kasa zuwan su shine sanadiyyar kawo karshen covid a najeriya idan ma sharri suka zo dashi yã allah ka mayar dashi alkhairi,hau,praise
in àkúrẹ́ town when a king departs from the land of the living who do they choose to act as king pending the time they will choose another king ní àkúrẹ́ tí ọba bá wàjà tani wọ́n ma fi yàn láti wà lórí oyè kí ọba tuntun tó jẹ,yor,general_feedback
i don go follow and patiently waiting for her for apple music should i blow powder before you notice me abeg na,pcm,praise
"@user Thank you very much, for the introduction. People have often taken ÒRÌṢÀ to be Idols in Yorùbá land, due to external influence. Can you tell us, Who/What is ÒRÌṢÀ? Ẹ ṣeun fún àfihàn ara yín. Awon èèyàn rí Òrìṣà gege bíi ère bíbọ̀. Ǹjẹ́, Kíni/Tani ÒRÌṢÀ gangan?",yor,praise
i swear ko funny mo wahala for who dey school wey no dey sell anything oo everybody don dey sell things na only me dey middle make u na allow me sleep well oo,pcm,urgent_complaint
@user Osebuluwa ga eji aka ya di nso gwuo gi oria ahu ma chulakwa ihe kpatara ya na aha chukwu nna bu eze anyi,ibo,praise
@user Ko asibiti ne da kudinsa 😒,hau,general_feedback
fì =gt dangle dangling aláìsàn ń fì lògbòlògbò the patient is dangling vigourously,yor,urgent_complaint
@user ALLAH ya dawomana da k lafiya🕋,hau,praise
RT @user: Cc @user #OrinOnka lede Yooba. 1- Eni bi eni 2- Eji bi eji 3- Ęta ntagba 4- Ęrin wọrọkọ 5- Arun... 6- Ęfa... Oy…,yor,general_feedback
"@user Wannan ba maganar hankali bace a matsayinka na musulmi, ina ganin a baya-bayan nan akai wasu zabuka wanda ana tsaka da cutar corona aka yi su. Su wannan bazasu sa ciwon coronar ya karuba sae taron Faden Allah, tur da wannan maganar taka mustapha 😡",hau,urgent_complaint
RT @user: Ọmọbàdàn kíni sóò? 😌 #Ibadan #Yoruba https://t.co/TCagC2O4Q0,yor,general_feedback
"Wọ́n ní kò sí báa ti wo Ìbàdàn tó, apá kan là á rí. #Ibadan àbí? @user",yor,general_feedback
doctor awulaki afo osisa ji m na olu i na ako nuo nwanyi okwa onye di ndu na anu nwanyi udili doctor gini ka ibudi,ibo,urgent_complaint
"@user Gaskiya wannan RISHIN SANIN CIWON KAI NE, yayinda Nigeria ke fuskantar kalu_ balan tsaro ta ko ina, wasu keson a canza mata suna ☹️☹️☹️☹️",hau,urgent_complaint
"Olubadan of Ibadan land, Oba saliu Adetunji (Aje Ogunguniso 1) Showers Blessing on Me. #2019 #mustobey #amen #yoruba #culture #tradition #elder #courtesyvisit #celebrity #arrival #king… https://t.co/4jdj2covtx",yor,praise
"Mo gbiyanju lati jeki fidio yi je iseju kan ni aimoye igba, sugbon kosese... 🤷🏿‍♂️ E mase dami lejo fifowo nigba meta bo ti le jepe mo so wipe igba marun 😂. E jeki a sa bojuto ara wa, olufe wa ati awon ara ile wa... #EtoIlera #KokoroKorona2019 #Yoruba https://t.co/8Z52JJYFv0",yor,praise
dama basu d aiki wadan nan inyamuran sai danfara da safarar kwayoyi don haka suka lalata sunan nigeria a kasashen duniya sbd haka visa ta china da sauran minyan kasashen duniya takeyi mana yan nigeria wahala matuka sbd wannan mummunar hali nasu dama raba kasar akayi wlh,hau,urgent_complaint
@user Subahanallah Allah kayi Mana maganinmu😏😏,hau,praise
@user Ga boska nan ya taho🙌🏾🙌🏾🙌🏾maganin sauro maaaagani na chutar cizon sauro,hau,general_feedback
"@user 😲ikon Allah , haryakai gahakan Allah Kai muna maganin wannan annobar , Lallai bana se Allah ko Ana aikin hajji😔",hau,praise
youre mad see you wey you want use ₦ stake to win ₦ for bet naija who dash you crypto currencies and forex your ₦k bitcoin wey don enter dip you better go an start selling gala and get a life burna boy,pcm,urgent_complaint
@user Tasu da ban ta talakawa da ban ina mu ina abun c suganan kasa bare maganin sa ai wutsiyar rakume tai naisa da kasa 🙄🙄🙄🙄,hau,urgent_complaint
wahala for who her friends never don acknowledge amm as mrs laycon oo the something dey sweet me shaa another wonderful day to stream songs,pcm,praise
@user Masha Allah! Ubangiji Allah ya basu zaman lafiya da zuri'a Dayyiba...Amin 🙏,hau,praise
e get one nurse wey dey inject people h better go check,pcm,urgent_complaint
"@user 😀 ba wasa, wani baturan zai iya sama wata suna Corona ko covid",hau,general_feedback
@user O kwa otu a ka malaria si ebido 😒,ibo,general_feedback
baba mimo iwo olorun gbogbo aye baba wa gbowa kale ma feran ara wa baba mimo ateriba siiwo ju ite re boju wa ko saanu fun wa oo olorun olorun agbayee oluwa wa o eleda gbogbo eniyan by beautiful nubia,yor,praise
Imototo bori arun mole bi oye se n bori ooru http://t.co/YfA2xHo1,yor,praise
allah yayi mana maganin wannan cutar,hau,praise
@user aligo i mana onona mmiri asaaru bukwa oria maka kedu ka obodo anyi gesi were mmanu ugboala nkeukwuu mana okana akoo anyii#aligo,ibo,general_feedback
"@user Shawara: Kada abaiwa ko wace jaha komi harsai in ta cancanta kuma fannin wannan cutar ta (COVID19), itakuma (FG) sutaimakawa yan kasa wajen rage radadin zaman gida ko ba'a ba kowa komiba asan yadda zaayi kayan abinci suyi sauki 👍",hau,praise
masha allah allahu akbar sunnah kenan magani bidiah anan na karu da abubuwa masu yawa da ace malan jafar malamin bidiah ne da tawannan hanyar maana yaron sa ma abin bautane ga yan bidiah dalilinsu ai dane ga malan allah kaji kan malan da rahama ya allah,hau,praise
so heart touching story kuma abin da xai baka ciwo da mutane shine yanxu wanda suka guje ta a baya xasu fara dawowa sabida ta fara samun nakanta allah ya sa albarka a kasuwancin ki yar uwa,hau,praise
if umu obligbo no come who else go come ohanwa ji okwa phyno jide ofor flavor buruzie ijele odogwu illbliss getinye everything okpa di oku anyi nile anenwe obi anuli maka na chukwu goziri umu igbo agozi,ibo,praise
@user Jesus bu Odogwu kachasi odogwu,ibo,praise
boys dey hospital dey work salah meat just dey pass patient come and join me doctor me im fine maam thank you,pcm,urgent_complaint
"@user Nwanne, o buna edemede gi a nke n'akwado ogwu Supradyn emegideghi ighu na-achi ndi otu ahu ike obodo anyi? Kpachara anya. O nwere ndi obi adighi mma maka oganiru gi.",ibo,general_feedback
addua zan masa allah ubangiji ya kareshi daga dukkan sharriya kara masa lafiya da nisan kwana ya karfafeshiya kawar da idon maqiya akansa da mahassadaya karo mana irinsa a nigeria and,hau,praise
"@user Waya tambeye ku? Giskiya Har yanzu baku waye ba wanan Na iya hadasa rikichi fa! This is not news this is rubbish, tell us who wrote this headlines the person needs to be sacked ✊ @user",hau,urgent_complaint
khalil million nairana d whole world matter e dey judge,pcm,urgent_complaint
@user Allah yayi mana maganinsu don son Annabi da Alqur'ani🙏,hau,praise
abu aisha dis result don dey tire pesin o who win fct and nassarawa is it true dat atiku won those states,pcm,urgent_complaint
@user 😩😩😩abun tausayi a dageh young doctors,hau,general_feedback
whoever is in charge of adigbes light e no go better for the person and hin whole family,pcm,urgent_complaint
@user Allah yayi mana maganin Abinda bamu iyawaa 👏👏👏,hau,praise
wai corona virus tashigo nigeria ruwan ɗan wake zamu dinga sha mtchewwww rubbish,hau,urgent_complaint
@user Allah ya bamu Kuma ya karamana lafiya 🤲,hau,praise
Aga aju Onye? Na who go confirm? https://t.co/2knJNRONHe,ibo,urgent_complaint
ni jiya harda siyo alawa xan rabawa yara sbd xaa bda labarin mahmoud lokacin mom batajin magana saida nagasha maganin bacci,hau,general_feedback
@user Wannan shine yake qara labbatar mana dacewa hukumomi suna qirqirar rigakafi na boge saboda biyan bukatar su. da wannan nakecewa ni a fahimtana bangamsu da rigakafin allurar corona da akeyi ba ! itama wata buqatarsu sukeso su cimma da ita kamar yadda sukayi anan 👆 https://t.co/QLUhOcuva4,hau,urgent_complaint
nwata rie oké ọkpa gbara afọ ọ hụ udene ọrọwa ya anya orie udene gbara afọ ọ hụ ogwumagala ọrọwa ya anya mana orie ogwumagala ubenube ana ebere ya ụtụtụ ọma nụ,ibo,praise
mumu is from ja who mugu dey rule na mugu im be,pcm,general_feedback
something is not too write about dis scripture pls is adam and eve d st mortal on earth if dey are who den bear d child cain married,pcm,urgent_complaint
Imamma ya bu agwa ya Ngozi Chukwu bu nke ya She is a virtuous woman Maka na ezi nwanyi di uko (Inserts atilogwu)💃💃,ibo,praise
"@user Ai ba a Kenya 🇰🇪 kadai ba, ko a Nigeria 🇳🇬 mutane da yawanmu, har gobe bamu yarda da akwa cutar corona ba.",hau,urgent_complaint
RT @user: Iku moya Ile Wa Arunmoya ile Wa Ofo moya ile Wa Ese moya ile Wa Oran Moya ile Wa Gbogbo Ajogun Ibi Emon ya ile Wa Ero O…,yor,general_feedback
@user da riga kafi kara magani🤐🤐,hau,general_feedback
"RT @user: @user Ẹni táa fún ló'bì tí kò ṣ'ọpẹ́, báa fún un lọ́'mọ kò ní ṣà'na. / A person who gave no thanks when offered…",yor,urgent_complaint
nor be you put ur mouth for the mata e get who calls you just see ur sef outside grow up joor,pcm,urgent_complaint
@user Toh Allah ya kara mana Lafiya da Zaman Lafiya da kuma abun da Lafiya za taci 🙏🏻,hau,praise
insha allah daga wannan cutar tasa sai lahira dan uwarsaduk wanda ya taba annabi ko ubansa waye bazai zauna lpy,hau,urgent_complaint
"RT @user: Who read this before? """"""""""""""""In-depth Yoruba Phonology and Grammar"""""""""""""""" 😁 Ìwé pàtàkì fún ẹni tí ó fẹ́ kọ́ gírámà èdè Yorùbá fún sí…",yor,praise
nekwa odogwu on the move ndi anambra neenu future governor unu,ibo,general_feedback
#Repost @user with get_repost ・・・ Shhhh... we are coming. “Egun to ba pidan mo niwon nipidan pe” . . #blacktothefuture #sacredartoftheori #yoruba #laolunyc #oriball #blackandwhite… https://t.co/3kcYri69ot,yor,praise
iro ni o ko seni to n fun awon omode labere ajesara monkey pox losun,yor,urgent_complaint
sometimes i wonder who writes these scripts for our leaders o asaba movies try pass una for script writing n acting abeg,pcm,urgent_complaint
@user Subhanallah allah ya kiyaye mu 🙏🙏ya basu lafiya 🙏🙏,hau,praise
@user @user Kai akwai case yau kenan Allah ya kaimu dare lafiya 🤣🤣,hau,praise
david tar who be dat no be me dey pay am wetin you dey talk sef na me dey pay am so therefore what is his is mine joab big bros i no go advice you make you near there leave mata for matthias you know as e dey be david you wan die,pcm,general_feedback
ya allahka hada kan dukkanin kasashen musulmin duniyah gabakih dayah sannan allah kakawoh karshen rashin zaman lafiyah akasashen musulmi damah duniyah gabaki dayah,hau,praise
make sure you chop in this life oh na who get strength dey hustle,pcm,praise
i swear even if i try e no go happen na to dey take sleeping drugs,pcm,urgent_complaint
what how who did you pay who help you do your sure runs like this na please i need boasting so my epl scores go at least enter e abeg see f staring deep at me epp ma laive here,pcm,urgent_complaint
my dear shift for me let me cry abeg im tired‍️‍️ small thing dey will ask u savings or current omg who did i offend o‍️,pcm,urgent_complaint
yes na i know before o sebi i dey talk am say shoprite for sa na like pharmacy na we dey hype am for here people dey think say na them build the malls,pcm,urgent_complaint
@user Allah yayi muna maganin waɗanan fitintunu😥🙏,hau,praise
"RT @user: Ko kin se gbogbo WIFI lo le lo, sora fun awon ti o fe se ijamba si ero ibanisoro e Dabobo WhatsApp e, lona Meji pelu…",yor,praise
aworan aare nijeria dokita jonathan ati aare ano ogagun mohammed buhari ni ilu abuja fun ajodun asepo amunisin,yor,praise
eje ki a wole adura fun diziani aya madueke omo alison arun yi o gbudo gbe owo mekunu mi bi ti ogagun ologbe abacha,yor,praise
wàhálà for who no understand yoruba ooooo,yor,urgent_complaint
was dem don lock am who unlock am sef me i no dey see road again oh,pcm,urgent_complaint
@user @user Allah yakara lafiya Alan waka 💕💕,hau,praise
@user Allah sarki. 😭 Allah ya basu lafiya,hau,praise
when before meets afteri love it when people who sabi chop fish buy my fish and do justice to itofcourse the fish sweet die so dem no get choice its weekend,pcm,praise
you no jam am during the scare period which kain drugs i nor prescribe for that boy at least e go dey see skyscraper for where e dey now,pcm,urgent_complaint
"@user Allah ya shiga lamarin kasar mu, 👏 Ya bamu lafiya da Zaman lafiya 👏",hau,praise
📽️Ọgbẹni Tembo ńwáni mimọ! Ọwọfifọníawọn àwùjọ: https://t.co/nSeCrs4KDa Yoruba language version of community health education film designed to teach the importance of hand washing. #CleanForAll #GlobalHealth #Handwashing #Yoruba #Nigeria #Benin #Togo https://t.co/7HkHxMHt4t,yor,praise
"@user Best of luck 💕 .... Allah yasa agama lafiya,",hau,praise
"Oba Lamidi Adeyemi, ( Alaafin of Oyo) ojo pa sekere omo atiba, omo iku ti iku o le pa, Omo arun ti arun o le se. KABIESI ooooo #OyoKingdom #Yoruba #Alafin https://t.co/uHlrqMtfmy",yor,praise
"@user Allah yasa haka itace mafi alheri, kuma Allah bashi lafiya🤲.. Aameen",hau,praise
"Gẹ́gẹ́ bí ẹ̀ka ìṣàkóso ètò ìlera ní ìpínlẹ̀ Èkó ṣe sọ, ẹ má dẹ́kun ọwọ́ fífọ̀. Ẹ lo àwọn ìlànà wọ̀nyí. Àrídájú Ìlera wa àti ìbòrí kòkòrò #COVID19 tí di àjùmọ̀ṣe."""""""""""""""" @user https://t.co/XruFKRgbTk",yor,praise
@user 😭😭😭😭aikin knn Sai kwamushe yayan alummma ake Amma Kuna ta allurar karya wae Corona hmm kuje kufara karbo yaran da aka dauke snn kuzo kuyi mgn Corona,hau,urgent_complaint
dan allah a samu wani ya siya mini cikekkiyar kaza before covid tazo kano ️ dan naga abun kamar da gangan ake yadawa mutane,hau,general_feedback
Ezigbo 'Ogwu obara' 🙌🙌 https://t.co/BEbiVg2vEW,ibo,general_feedback
wahala for who dey toast babe now o they key word is send me your aza make i wire u u go dey shyke dey form love i pity u sha,pcm,urgent_complaint
@user Ba shan maganin gargajiya ne ba ya kashe su. Rashin bin ƙa'idar shansa ne ya kashe su. Domin ai ko maganin Baturen ka sha ba bisa ka'ida ba zai iya sanadiyyar kisa. Bama ciki da iskancin banza😈😈,hau,urgent_complaint
"@user Gaskia ban tabaji ba ace mutum ya samu maganin aka rasa gano maganin ta a duniya, yasha ya warke ba karya ne sai yayi sauki 😭😭😭😭😭😭",hau,urgent_complaint
mudai fatarmu itace allah yakawo muna danwamamen zama lafiya a nigeria,hau,praise
alhamdulillah wallahi wannan abun da sukai yayi kyau sosai allah ya kawo mana karshin wannan cutar baxan fade sunan taba dumin na tsani ta,hau,praise
Ẹni ija o ba lon pe ara ẹ l'ọkunrin. Translation: He who haven't seen real fight/battle boast of being a SuperMan. ~@user #kevingatesvideo #yoruba #language #RemiCrownDiamond #sundayvibes #SundayMotivation,yor,urgent_complaint
na d danfo na who dey lead,pcm,general_feedback
@user Hhh gaskiya Ma zata bayyana wlh mu munji Hirar ai batun Corona a kano akwai Alamar tambaya 🙄,hau,urgent_complaint
@user Ezigbo Ogwu ego nwanne 💰💵💶💴,ibo,urgent_complaint
@user Mudai a yankin arewacin najeriya illar da cutar cizon sauro take mana yafi Na corona virus 🦠,hau,urgent_complaint
lol some niggas still dey around dey peddle drugs as match dey go on ahh,pcm,urgent_complaint
"RT @user: Ki Olódùmarè Yọ wa kúrò nínú ajakale àrùn Coronavirus. May Almighty God save humanity from this virus. Stay Safe, avoid…",yor,praise
📻▶️NP no competition @user @user #k'anyinoria na oge ndigbo @user @user,ibo,general_feedback
Igirigi okpokopi 1 na umuahia Nshansha mmiri a na aku dodging by jamkpa nke mbu na Dplace Nwoke bugodu watermelon Taaa! Shie ishi oma brother Happy birthday odogwu nwoke.. @user https://t.co/TFZzBY3tvF,ibo,praise
Eyi ni Oriki Ofa fun igbadun yin https://t.co/Slu8KxFl6x #EdeYorubaDunLeti #FidiyoYoruba #wednesdaymorning #OrikiYoruba #WednesdayMotivation #COVID19 #worldwar3 #fortniteseason3 Ajimobi Victor Giadom Falz #Adehimself #Adeherself #EFCC @user @user #yoruba,yor,praise
"RT @user: Oro awon ara oke-oya yii wa su wa oo,bawo lese maa yinbon fun awon osise ilera bahun!!!",yor,urgent_complaint
this serves as a reminder for choristers and instrumentalist to start rehearsing because as i de so i don de rehearse dance steps for d first sunday after covid ish,pcm,praise
@user Fatan mu dai Allah zaunar mana da kasa lafiya. Masu zanga zanga kuma Allah basu hakuri. Tashin hankali baya kawo mafita ko yaushe. 👌🏽,hau,praise
RT @user: Gbogbo èèyàn oníwà tútù kọ́ lonínúure. / It is not everyone with quiet disposition who is kind-natured. [Appearance c…,yor,urgent_complaint
i like how you said swapped henrikh mkhitaryan without pointing out who left i still think its so cute how le goon fans get very optimistic with just any transfer foray we go dey here dey jot the results out when una start dey go up boss,pcm,praise
e don tey una dey poto poto a whole cjn was removed by an experte order sans were rolling in the mud in support,pcm,urgent_complaint
2. Òpópónà marose Lagos - Ibadan náà tí de ìdajì nínú ṣíṣe rẹ tí sì ti pèsè isẹ to dín di ẹni ẹgbẹ̀rún márùn-ún fún agbase ṣe àti àwọn olodani.,yor,general_feedback
my god see wetin klopp dey assemble still wan loan dembele from barca join again who cursed man utd na abeg we are sorry,pcm,urgent_complaint
ehennnwhere una dey ooall of you who engage my tweets andmake me enjoy these streetsoya make una line up ooi wan share jollof for una here oo abi una don chop ni‍️,pcm,praise
ẹpẹ alarọ wa ẹpẹ ogunmọdẹde ẹyin ọmọ ẹpẹ da ooo tag those who you know are from ẹpẹ,yor,praise
"Omo ilu Ibadan ni mi, ni agbole Akogun Balogun ni Amunigun. Iran Oshiware ni Opo Labiran ni ati sewa, Bakantari ni aaba wa. #TweetinYoruba",yor,general_feedback
my dear shift for me let me cry abeg im tired‍️‍️ small thing dey will ask u savings or current omg who did i offend o‍️,pcm,urgent_complaint
fatan mu ayi shi lafiya a gama lafiya allah ya zaba mana shuwagabanni na gari masu son mu,hau,praise
