text,language,source_sentiment,suggested_label,final_label
"@user Obasanjo ne matsalar kasar nan.. Da ya ga anfishi jama'a da ayyuka sai ya fara surutai.. Gaskiya, tsufar sa ya taba masa kwakwalwa, yaje yaga likita. Hassada Garai😏",hau,negative,urgent_complaint,
@user Kawai kuce zaku figures na karya. Dama cen mu bamusan wasu masu corona ba. 🤔,hau,negative,urgent_complaint,
@user Dan Allah kuyi hakuri ku kyale Talakawa haka 🙏 Domin duk lokacin dakaji Gwamnatin Nigeria tace zata taimaki talaka karya ne kawai Wani salon Sata ne 😢 Inso ake ataimaki talaka kawai a sakko da Farashin fuel da kayan masarufi awadata asibitoci da Magani ai masa Hanya 🙏🙏🙏🙏,hau,negative,urgent_complaint,
@user Haba suma wai komai sayarwa suke😅😅😅😅 abun seems sick wlh,hau,negative,urgent_complaint,
@user Wane irin cibiyoyin corona? This government should open our schools. Na bi corona da gudu na kwala mata sanda😏😏😏,hau,negative,urgent_complaint,
"@user YDG zazzabin da addabi jama'a baya rasa nasaba da sabbin abinci da jama'a sukayi taci kamar masara da sauran su, domin yunwa 😭😭✍✍✍",hau,negative,urgent_complaint,
"@user Ta ina din, bayan a afrika gaba daya ko mutum 20,000 masu cutar basu kai ba da har zaa kiramu da cibiyar korona. Sai dai idan suna da wani mugun shiri akanmu kuma.😡",hau,negative,urgent_complaint,
@user Wnn maganar fah Karya ce babu covid 19 a Katsina wlh babu Ni 👈 dan Daura ne kuma muna jii muna Ganii 👀 za'ayimana karfa karfa a cocemu wlh wlh babu Covid 19 A Daura,hau,negative,urgent_complaint,
@user Mudai a yankin arewacin najeriya illar da cutar cizon sauro take mana yafi Na corona virus 🦠,hau,negative,urgent_complaint,
@user Kina ruwa corona virus😂,hau,negative,urgent_complaint,
@user Nabi WHO da gudu ba wando 😡😡😡,hau,negative,urgent_complaint,
@user Hauka maganinka Allah kullen cewa ake mugafara ga sa nan amma ko qaho bamu ganiba har munsha 2021 Allah wadaran naka ya lalace 💔,hau,negative,urgent_complaint,
"@user Kei wnn mutumi wnn mutumi wato Corona tayi sauki sei fita ko karshen Kuma bazei wuce yace rikicin siyasar kasar zai sasanta ba Don jiya akace wancan bakin macijin yayi ganawar sirri dashi,Amma dei wallahi Allah wadei kaji da matsalar kasarka Amma sei yawan banza ka iya😠.",hau,negative,urgent_complaint,
"@user 🤣🤣🤣🤣🤣😂😂😂🤣🤣🤣🤣 Waton ko ana ruwan kudi sai sun chi bashi dai. Toh kowa ya kwana lafiya - """"""""""""""""""""""""""""""""Shi yaso""""""""""""""""""""""""""""""""",hau,negative,urgent_complaint,
@user Allah sarki da batta gari da marrasani ciwon Kai sun iske mara wayo sun goga masa bakin jini Allah ya issa🤲🤲🤲,hau,negative,urgent_complaint,
"@user Gaskia ban tabaji ba ace mutum ya samu maganin aka rasa gano maganin ta a duniya, yasha ya warke ba karya ne sai yayi sauki 😭😭😭😭😭😭",hau,negative,urgent_complaint,
@user Ah to nikam mizan cewa wagga wai uwar gulma tayi cikin shege🤣🤣 Ba mamaki shi rashin hawan jirgi shine ya bata masa rai ba matsalarda zata'iya shafar lafiyar talakawaba🤣🤣,hau,negative,urgent_complaint,
@user Idan kura tana maganin zawo 🙄🙄,hau,negative,urgent_complaint,
"@user Gwanda #Corona da shugabannin mu wllh, su da kansu suke kashemu ana cewa 'yan bindiga, Kuma dadina da'ita bata cika damun talakkaba saidai masu hannu da shuni ma'ana masu madafun iko, Suko masu madafun iko su kashe talakawa, Allah shi isarwa talakka ga shuwagabannin mu wlh😭",hau,negative,urgent_complaint,
@user wlh anraina mana hankali 😠😠😠😠😠😠😠😠😠 inda musulmineh da tuni sunmasa hukunci.. Kuma da tun likacin da sukaje kamasa mah sai sun harbe sah a kafah.. Yah Allah kayi mana maganinsu 😭😭😭😭🙏🙏🙏,hau,negative,urgent_complaint,
@user Wace irin rashin lafiya ke dashi??😮.. don't tell me Corona😞,hau,negative,urgent_complaint,
@user Maganin Yan tsurku 😹😹,hau,negative,urgent_complaint,
"@user Ae maganin shege karan maguzuwa, tayi mun dede wallahi 💯",hau,negative,urgent_complaint,
"@user Wnn duk zancen banza ne, me jiya tayi balantana yau😏😏 kullum babu agender yadda za ayi a daina kashe mutane sai agendar banza da wofi kuma wlh indai ba'ai maganin rashin aikin yi ba kullum hk abubuwa za suyi ta karuwa",hau,negative,urgent_complaint,
"@user Coronavirus ai makami ce. Ana yaqan mu ne da ita mu bakake tare da hadin bakin shuwagabannin mu, mutuwa dai daya ce Kuma bama tsoranta😤",hau,negative,urgent_complaint,
@user To me ya faruu Corona ta hanaku airing movie dinku ko😅😅,hau,negative,urgent_complaint,
"@user Ba jakkai da zasu min rigakafi, su fara da kasashensu mana in gaskia ne. We are not lab rats for Godsake🤦🏽‍♀️",hau,negative,urgent_complaint,
@user Corona yar sarki ta nasara cutar kulle cutar da baa ganinta sai a rubuce✍🏽,hau,negative,urgent_complaint,
"@user Corona ba Matsalarmu Bane Malam Kawai Kaje Birnin Gwari,Giwa,Kudaru,da Wasu Bangare a jihar kaduna Kaji Halinda sukeciki. Zubar Da jini Bala'ine a kasa 😭😭😭😭",hau,negative,urgent_complaint,
@user Wannan sabuwar hanyace ta neman rashin son zaman lafiya a duniya kawai😡,hau,negative,urgent_complaint,
@user Ancemuku mu marasa lafiya kuje kunemo bokoharam a duk inda suke ba corona bane masalar yan Nigeria 🇳🇬,hau,negative,urgent_complaint,
@user Wannan coronar zai faɗawa ta yi haquri ta dakata da kama mutane sai ya gama uzururrukan sa tukunna. Mtsw🙄,hau,negative,urgent_complaint,
@user Ina ruwan majalisar dinki kuma da corona😕,hau,negative,urgent_complaint,
@user Nabi corona da gudu ba wando 🤣🤣,hau,negative,urgent_complaint,
@user BBC wannan wani irin magana bakwaon Zaman lafiya Haka Anazaman lafiya kuka zakolo labaran karya wai En Twitter sunyi pishi da gomnan BORNO ZULUM to kuji tsoron Allah kuna fadin gaskiya 😡,hau,negative,urgent_complaint,
"@user Wannan ba maganar hankali bace a matsayinka na musulmi, ina ganin a baya-bayan nan akai wasu zabuka wanda ana tsaka da cutar corona aka yi su. Su wannan bazasu sa ciwon coronar ya karuba sae taron Faden Allah, tur da wannan maganar taka mustapha 😡",hau,negative,urgent_complaint,
"@user Gsky wannan PTF din dakikai aka hada wlh,inba zasu iya shigo da wani hnyr da za a rage wannan coronar ba sai ta hnyr lockdown to gsky dakikai ne Basu da amfani a soke PTF din kusan shekara days kun kasa shawo kan Corona sai dai kawai ayi ta lockdown 🤔🤔gwanatin dakikai",hau,negative,urgent_complaint,
@user Saboda sunsan babu cutar qarya ne... To meyasa zaku takura kansu 😅😅,hau,negative,urgent_complaint,
"@user Allah yanda kuke wulakanta bayinsa a wannan mulki naku, Ya Allah ya hanaku jindadi duniya da lahira, ya Allah ya hadaku da cutar da kudin da kuke sata baxa ku iya neman lafia dasu ba😢😢🙏🙏...",hau,negative,urgent_complaint,
@user Wnn abun yazama hauka ma to ko a legas da cutar tafara bulla kuma sukafi kowa yawan masu cutur basu dauki wannan danyen hukuncin da El-rufai yake dauka akan yan jiharsa ba. Abu tun ana na hankali yafara zama na hauka 🙄,hau,negative,urgent_complaint,
"@user Wlh @user kuji tsoron gamuwar da mahalicci 😞 banzaye makiya Allah kawai, baku San zaman lafiya, babu yan ta'addan gidan labarai Sama da this fucking @user 😞😠😡",hau,negative,urgent_complaint,
@user Ku duba matar nan da ɗanta. Abin tausayi. Zamu ji da matsalar rashin ingantaccen ilimi ne ko rashin abinci? Ko rashin ingantaccen kiwon lafiya? ko rashin zaman lfya? 😭😭😭 https://t.co/EWz3q5d90w,hau,negative,urgent_complaint,
"@user Dakaji kasan wanda aka hanasu zuwa Masallaci da Coci ne, Sai yasa kaga cutar ta kama yaransu🙈 Domin sunqi bin dokan zuwa gurin ibadu.😂",hau,negative,urgent_complaint,
@user Wannan zancen banza ne daga mutanan banza. Mu africa babu ruwan mu da wata coronavirus. Sune dai lallai su keso se sun alaqan tamu da ita. 🤔🤔,hau,negative,urgent_complaint,
@user Ai Har Yanzu Suna Da Sauran Hankali. By Right Kamata Yayi Ace Kana Asibitin DAWANAU 😡 🚶‍♂️🚶‍♂️🚶‍♂️,hau,negative,urgent_complaint,
@user @user Yau kuma 🤔 Amma ai shine yace @user ya kullemu sbd yanada Hospital yanasamum kudi .😎😎,hau,negative,urgent_complaint,
@user Ni dukkansu babu wanda zanyabawa tsakaninmu dasu allah ya Isa baruwa bahuta ba hanyoyi masu kyau babu asibitoci isasu babu abinci mai kyau ga talaka tir da mulkisu duka musammama buhari allah wadaransa yafi kowa cutar damu 😭,hau,negative,urgent_complaint,
"@user Gaskia kam, suyi ta bawa desperate mutane abubuwan da suke burkuta ciki.Sannan ya kamata a hana masu tallan magungunan asibiti ma da suke yawo. Duk yan ci rani ne fa😅",hau,negative,urgent_complaint,
@user 😢😢😢😢😢😢 mu yau aka mana low down. wlh ba shiga ba fita anan daura wlh abin sai aduu'a gaskiya ya kamata arage ba ci atashi tsaye Akan wannan cucar ko wlh sai ji tausa yimmu ya bamu maganinta...,hau,negative,urgent_complaint,
@user Ana ga Kidnappers kana ga Allurar Corona.. 👌👌,hau,negative,urgent_complaint,
@user What is this for love of God? Haka zamu rika zama? Shuwagabannin mu suna cutar mutane don neman mulkin banza. 😖,hau,negative,urgent_complaint,
@user Ina bindigar da ta harbe su da ita? An ce an rufe boda amma ana shigowa da ƴar banzar coronar nan bindiga ta ɓarauniyar hanya saboda rashin bin doka🙄,hau,negative,urgent_complaint,
@user hmm gaskiya t fara fitowa ana cin dukiyarmu da sunan maganin corona. Allah ya saka mana 🙏,hau,negative,urgent_complaint,
@user Ganduje ya kaiwa jigawa corona dea gaskiya bai kamata a mika wanda ya kamu da corona din nan jahar jigawa ba tunda dea jigawa bata da ita 🤔,hau,negative,urgent_complaint,
"@user Gaskiya ba ai mana adalci ba du kan yamana yawa ni duk abinda Mahmud yayi a film dinnan bana ganin laifin sa sbd kudi yana iya chanjawa kowa tunani Amma @user da kata shi sai kai mana biyu babu, kuma kace wai Dan shige ne gsky wannan abu yamin ciwo😭😭😭",hau,negative,urgent_complaint,
@user @user Meyasa kakicire hafsushin tsaro domin abayyane yake sungaza kana wasa da raruwar en Nigeria ana cutar damufa 😭😭😭😭😭😭😭😭😭😭,hau,negative,urgent_complaint,
@user 😳😳😳😳 too fa •• ina zamu sa kanmu ga talauci ga corona,hau,negative,urgent_complaint,
@user Ba'a taba Manzan Allah a zauna lafiya. Ya Allah ka sauke bala'in da yafi Wanda ka saukewa adawa da samudawa a kan faransa. Wallahi Manzan Allah shine gatanmu bazamu taba yin shiruba idan aka tabashi😭 Adduar bala'i da musiba yanzu muka fara akan @user and entire france,hau,negative,urgent_complaint,
@user Kufa bakwason zaman lafiya toh' an daga sai 9th February 😂😂😂,hau,negative,urgent_complaint,
@user Ai a gwada lafiyar sa kawai. Mutum mai cikekken hankali bazaiyi irin yadda Buhari yake yi ba. 👌🏽👌🏽,hau,negative,urgent_complaint,
@user in kura na maganin zawooo taiwa kanta...👌👌👌 me na sama ya samu ballantana dan jefomin...👌👌👌 ayi dai mu gani in tusa zata hura wuta...👌👌👌,hau,negative,urgent_complaint,
@user Hummmm inbanda qasata naija a Ina akeyin haka? Kacutar da jama'ar da saninka kuma wai daga baya kace suyafema? Rainin hankali kenan😠😠😠😠😠 wato kaci banza kenan ko?? To bazai yiwu ba,hau,negative,urgent_complaint,
@user Kudi masu gidan rana baa yagaku koda kuwa mutum Ya zare kudi ‘Yan uwa na kusa-kusa kudi kenan maganin wulaqanci har maganin muna Fukai sunayi😎,hau,negative,urgent_complaint,
@user Coronavirus Sabon Bala'i😅😅😅,hau,negative,urgent_complaint,
@user Wannan shine yake qara labbatar mana dacewa hukumomi suna qirqirar rigakafi na boge saboda biyan bukatar su. da wannan nakecewa ni a fahimtana bangamsu da rigakafin allurar corona da akeyi ba ! itama wata buqatarsu sukeso su cimma da ita kamar yadda sukayi anan 👆 https://t.co/QLUhOcuva4,hau,negative,urgent_complaint,
@user @user Kaji dariyar mugu # COVID19 🤣🤣🤣🤣??,hau,negative,urgent_complaint,
"@user 🎶kin ci amanar shi,CORONA""""""""""""""""""""""""""""""""🎶",hau,negative,urgent_complaint,
@user @user 😂😂😂😂na dauka ma maganin mutuwa suka samo,hau,negative,urgent_complaint,
"@user Mitsiyaci, ba zaka gama da duniya lafiya ba👌",hau,negative,urgent_complaint,
@user Rayuwar abun ban tsoro ce an ma raini yara da soyayya da kauna sun botsare inaga an kuntata masu .Cutar da yaro baya da wani amfani mata da iyaye maza suna yin babban kuskure tunba shi Uba yana gani ana cutar da yayansa idan mahaifiyarsu bata gidan sai ya kauda ido matar uba 😬,hau,negative,urgent_complaint,
"@user Maganin da zaka kashe dari biyar, shine sae kahau jirgi kaje waje, saboda yawon tsiya, saboda lalata arxikin kasa.😭😭😭",hau,negative,urgent_complaint,
"@user Wannan Allah wadai da kakeyi babu maganin abunda zatayi, kamata yayi kayi amfani da tsohuwar fasaharka ta mulkin soja domin ka tabbatar da zaman lafiya a kasa Baki daya, BABA KABAMU KUNYA WALLAHI """"""""""""""""""""""""""""""""YAR AREWA MUNA CIKIN TSAKA MAIWUYA😩😩😩",hau,negative,urgent_complaint,
"@user Hhmn, Allah maiyadda so, yayinda kaso 80% yan qasa ke kwanciyar jinya aqasa Don rashin gadaje a asibitin qasar, suke mutuwa ba addadi, Amma Kash sai GA cutar da batama kashe mutum goma ba Amma anashirya Mata, Kwakwanta akan gadajenku, kukuke ciwonku muke shan yunwarmu.😢😢😢😢",hau,negative,urgent_complaint,
"@user 2000 kachal👌 Daman sun kashe shege ne wlh, masu hana kasa zaman lafiya, bazaka taba ganin ya fada shugaban kasa Christian ba saidai shugaban kasan Musulmi, kuna wai a hakan shi musulmi ne, baimaga komai ba sai ranan da ya mutu ya koma ga Allah zaiyi nayi Gwannati sun mun dai dai",hau,negative,urgent_complaint,
"@user Dama tunda ba Voters Card bane, ai dole kudin yamusu yawa maganinmu Kenan daga yau makuma kiran me Alawa bamuda ko sisi. 👌",hau,negative,urgent_complaint,
@user yA Allaah kayi mana maganin Ganduje 🙏🏽,hau,negative,urgent_complaint,
@user Hmm 🤔 munajin bayanan tirilioyi amma wasu talakawa na rasa iyayen su akan 5k kudin magani Ina mafita talaka Nigeria,hau,negative,urgent_complaint,
@user Daga cin Indomie Covid_19 Palliative sai kuma harajin N1000. Cima zaune sun janyo ma talakawan kaduna 😭,hau,negative,urgent_complaint,
@user 😁 Dama ace yunwa ce take damun ta. Yafi ciwo a gare ta👌,hau,negative,urgent_complaint,
@user So he recovered within one week abi? 🤔🤔 In mukache Covid Business wasu basa yarda. Hmm,hau,negative,urgent_complaint,
"@user Haryanzu banji labarin ance ga wani dan jarida yana dauke da cutar Corona virus ba, 😂 ko meyasa hakan ne oho 😏",hau,negative,urgent_complaint,
@user ashe Tanko na tsoron Corona virus🤣,hau,negative,urgent_complaint,
@user dama taya mutum xeyi lafiyan kwakwalwa baya samu yana ci yana koshi😡😡😡,hau,negative,urgent_complaint,
@user Ya Allah kasa tatafi live prisoner ya Allah duka wanada yacutara damu ya Allah karakabarshi ya Allah wanan. Munafukar. ya Allah kahanata jina dadina rayiwa.duniya da lahir😠😠,hau,negative,urgent_complaint,
@user Ana Maganar tsaro babu suna 😆Corona ya dawo #ana ga yaki suna ga Qura,hau,negative,urgent_complaint,
"@user Dama basu d aiki wadan nan inyamuran sai danfara da safarar kwayoyi don haka suka lalata sunan Nigeria a kasashen duniya, sbd haka VISA ta china 🇨🇳 da sauran minyan kasashen Duniya takeyi mana (yan Nigeria) wahala matuka sbd wannan mummunar hali nasu 😡, dama raba kasar akayi wlh",hau,negative,urgent_complaint,
@user In Corona bata kashemu ba ƙaiƙayin jiki kau ya kashemu....🤓🥴🙄🤣🤪,hau,negative,urgent_complaint,
@user Hauka maganin ta Allah. Ni bantaba ganin shashasha kamar Adam zango ba. Ba shi da tunani ko na sile biyar wlh😂,hau,negative,urgent_complaint,
@user Yawan jita_jita_kamar yadda aka janyo corona virus dabaki_ita ma mutuwar haka zakuci gaba da janyo ta dabaki🤷🏽‍♂️🤷🏽‍♂️,hau,negative,urgent_complaint,
@user Mufah yanxu a kasan nan mun riga mun fahimta Boko haram nan akwai masu gidajin su a cikin manyan jami’an Gonnatin kasan nan idan bahaka bah kowa ni abun amfani na yau da kullun a ce suna dashi bayan su yan ta’adda ne tayaya suke samu 1. Fetur 2. KayanAbincin 3. Magani Hmm🤔,hau,negative,urgent_complaint,
@user Ai Mahmoud ya shiga tarkon laila😂😂 maganin sa kenan! Ita Kuma sumayya zataci ubanta a wajen presdo😅,hau,negative,urgent_complaint,
@user Ba shan maganin gargajiya ne ba ya kashe su. Rashin bin ƙa'idar shansa ne ya kashe su. Domin ai ko maganin Baturen ka sha ba bisa ka'ida ba zai iya sanadiyyar kisa. Bama ciki da iskancin banza😈😈,hau,negative,urgent_complaint,
@user In kura tana magani zawo dayiwa kanta Mana Wannan ZANCAN BANZA NE😠,hau,negative,urgent_complaint,
@user Hhh gaskiya Ma zata bayyana wlh mu munji Hirar ai batun Corona a kano akwai Alamar tambaya 🙄,hau,negative,urgent_complaint,
@user Koba CORONA Sai Ka Mutu🙄 🚶‍♂️🚶‍♂️🚶‍♂️,hau,negative,urgent_complaint,
"@user @user Lol. Saboda mage da kare suna iya kamuwa da coronavirus din. Idan cutar ta tafi, zasu dawo cin abinsu fa. Harda kyankyaso ma da tsaka da kunama 😂😂",hau,negative,urgent_complaint,
@user Who say so babu wani shege da zaiyi locked din mu this year wallahi 😳😡😡,hau,negative,urgent_complaint,
"@user Akwai wani abu da na lura tun daga lokacin da aka canza shugaban NDLEA a najeriya ake yawan kama miyagun kwayoyi musamman a airport, da alama dai shugaban na baya kamar yayi sake ko kuma dai akwai fahimtar juna tsakanin shi da masu safarar miyagun kwayoyin😃😃",hau,negative,urgent_complaint,
@user Shi sugaban kasa vaima kamata ya fadi hakaba don koshi yayi fita kasar waje shan magani 🤣 🤣,hau,negative,urgent_complaint,
"@user Ai muddun kanaso kaga shugaba Buhari ya ɗauki matakin gaggawa ayi batu akan wani abu da zai nemi taɓa lafiyarsa ya rabashi da fadar gwamnati (Villa) koda na kwana ɗaya ne kuwa, wallahi da ace Buhari na son al'ummar Najeriya kwatan kwacin yadda yakeson fadar gwamɓati da an huta.🚶",hau,negative,urgent_complaint,
@user Ummh kai Dan Nigeria Kawai an maida shi bai San komai ba mun yarda da cutar a duniya am ma ba a Nigeria Kawai su gama neman kudin sude komai lokacine 🤙,hau,negative,urgent_complaint,
@user Kuje cutar ta kamaku sai kuci farfesun kugani ko zaku samu lafiya😅😅😅😅,hau,negative,urgent_complaint,
@user Toh ina ruwanmu da Corona 😠,hau,negative,urgent_complaint,
"@user Babu wani batun CeCe kuce, Lafiyar buhari kalau kawai iskanci ne 🤣🤣🤣",hau,negative,urgent_complaint,
"@user Haka wata rana a kasuwa nazo wucewa wurin masu tallan magani sai kawai ya fara tallan maganin fitsarin kwance,Mara mutunci yana kallona wai “sai kaga shantalelliyar budurwa San kowa Amman abun mamaki ta tsula amalala a shinfidarta 😥,bakin ciki sai naji kaman Dani yake.",hau,negative,urgent_complaint,
@user To ina ruwan ka da Coronar mu? Ka ji da ta Habuja mana. Yau na ga ikon Allah! Sun je sun warware ɗin🙄,hau,negative,urgent_complaint,
"@user Kuje majami’ai ko masallatai za’agayamaku gaskiya... Kude kunriqe hannunku kunbari anata cutar al’ummah, anata kashe marasa galihu, anata sacesu, Tundade ku idonku 👀 da kwalli. Amma Allah nanan ai @user @user Oppressors",hau,negative,urgent_complaint,
@user Su fara ta kansu mana yaushe Coronan tayi yawanda za'a fara takammu indai ba wani munafurcin ake kokarin shirya mana ba🤔,hau,negative,urgent_complaint,
"@user Hmmmmmm yaukuma tir yayi ba Allah wadaiba kayy! Mudaimuna ganin mulki mecikeda tsantsar kiyayya wayankinmu na arewa, amma bakomai watara sai labari Allah yakaimu 2023 da rai da lafiya yakuma karemu da kariyarsa amin, Badai kullum ganisukeyi talaka bayada hankaliba hmmmmm. 😭🙏",hau,negative,urgent_complaint,
@user Wakilan Corona yan wahala 😒😒,hau,negative,urgent_complaint,
@user Don Allah ku kyalemu da Abin corona banza haba 😌😌😌,hau,negative,urgent_complaint,
"@user Karyar banxa tunda baa janye strike dinba sai ynx da ake sake kokarin rufe makarantu sbd covid 19 second wave, Allah y kyauta Nigeria Jaga jaga😅😅😅😅",hau,negative,urgent_complaint,
@user Lallai Corona ta sa ana ta yiwa man fetur diban-karan-mahaukaciya a qasar nan 😂 😂,hau,negative,urgent_complaint,
@user Hahhahhaa akwae lauje cikin nadi fah 😂 Ayi ma vaccine a baka 40k later on ka mutu 😂. Namu kallo ne,hau,negative,urgent_complaint,
"@user Jama'a shikenan mu yan North East haka banza a ka barmu. Wallahi Cutar tayi yawa, yanzu wannan maƙudan kuɗaɗen wai aikin hanyar mota za'a yi a kudancin Najeriya. Tou Allah shine gatanmu😭",hau,negative,urgent_complaint,
"@user Aikaji irinta nan, Sun kasa inganta assibitocin gwannati 😰 ga cuta tazo tana yaduwa kuma sune tafi kamawa kuma babu zancen zuwa kasar waje wajen duba lafiyarsu, da kyau Allah ya fara kamaku, muguntar da kukayiwa talaka tazo akanku 🇳🇬😰😕🤕",hau,negative,urgent_complaint,
"@user Ok,to bamu yarda ba! Soyake da anje gidan yan kwankwasiyya ace sunada coronavirus saboda a wahalar dasu.😂🤣😂",hau,negative,urgent_complaint,
@user Saboda Corona Virus karya ce Musamman A Nigeria/Kano Yan Banza😂😂😂,hau,negative,urgent_complaint,
@user Yaje ya yai tacin bashi har ya ciwo wanda za'a saida qasar ga wata qasar.🤣🤣,hau,negative,urgent_complaint,
@user Ko banza dai Covid_19 ta hana clubing da sauran aikin banza😂,hau,negative,urgent_complaint,
"@user Wai dan Allah dagaske shiyafada ko kuma sharri akaimai, to indai shiyafada yazama dole amiqashi asibitin mahaukata, indai kaga APC tacigaba da mulkin Nigeria to saidai inda bakin bindiga zata kwata, inkuma kuria za,a jefa aci za6e wlh anyi nafarko anyi naqarshe 🙅🙅🙅",hau,negative,urgent_complaint,
"@user Gaskia akwai lauje cikin nadi, Wannan duk Bazai wuce politics ba, Kuma bazai rasa alaqa da tallafin kudi da gwamnatin kano ta nema ba ga gwamnatin garayya!!, Nidai ban tabajin inda aka fara gwajin covid ba Kuma aka dakatar Sai a kano. 😭😭😭This is very bad wallahi",hau,negative,urgent_complaint,
